Ano;Mes;UF;IMPOSTO SOBRE IMPORTACAO;IMPOSTO SOBRE EXPORTACAO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMOVEIS;IPI - VINCULADO  IMPORTACAO;IPI - OUTROS
2000;Maro;SP;335955873;66;56276360;52058410;98128472;191850834;313827850
2000;Maro;SE;480266;0;852707;4558290;0;237827;868749
2000;Maro;TO;12822;0;354505;40573;0;13813;181773
2000;Abril;AC;69;0;281844;0;0;53;15332
2000;Abril;AL;431496;34670;1335161;666420;0;209261;3524041
2000;Abril;AP;18176;0;392010;1372;2089;21265;5564
2000;Abril;AM;11653014;0;1435869;761711;3110;2737765;823793
2000;Abril;BA;14688014;339;5351139;9280167;0;14580507;26640025
2000;Abril;CE;6404554;0;4312128;3634189;75;1170030;3516949
2000;Abril;DF;1575729;220;3591841;3430141;0;1787121;918468
2000;Abril;ES;39356046;0;3377041;203797;3739221;27954083;6361286
2000;Abril;GO;4860570;0;3397095;4191750;0;2357006;3150367
2000;Abril;MA;4496161;0;988884;2518789;0;122391;1185428
2000;Abril;MT;174171;0;1734122;1934977;0;219867;635499
2000;Abril;MS;141516;0;943385;320225;0;126602;563690
2000;Abril;MG;27821946;0;15715488;11453240;35308685;11187247;50343579
2000;Abril;PA;1182931;0;2488552;903726;0;694707;1026390
2000;Abril;PB;998391;0;1929333;778395;0;430864;1676840
2000;Abril;PR;53090478;0;8723042;5036162;34775954;35566257;34232468
2000;Abril;PE;8534629;0;6298798;5553873;0;4040788;9617999
2000;Abril;PI;218222;0;800617;42627;0;66586;305624
2000;Abril;RJ;42783664;0;24505082;23060908;4081079;22411239;57264414
2000;Abril;RN;522119;0;1815090;369474;206;217905;657685
2000;Abril;RS;20469201;4834;24970501;10272176;684495;14204307;62034677
2000;Abril;RO;3564;0;613766;0;32;907;75616
2000;Abril;RR;1129;0;273213;0;0;1147;3769
2000;Abril;SC;13415570;4597;5276938;4315434;0;8152983;25346482
2000;Abril;SP;318429601;4172;60008546;62100019;142109773;175997052;398685779
2000;Abril;SE;903877;0;962855;3517123;0;532622;837995
2000;Abril;TO;5826;0;386584;96705;0;13295;183916
2000;Maio;AC;349;0;247176;0;0;115;21104
2000;Maio;AL;712640;0;1091382;440535;0;91007;469344
2000;Maio;AP;47246;0;300432;1384;421;53165;4427
2000;Maio;AM;16644627;0;1250680;1441343;1604;4175202;782717
2000;Maio;BA;12532051;0;4383157;9653501;0;15828269;19781854
2000;Maio;CE;7772856;0;3655873;3205382;75;2191509;3520745
2000;Maio;DF;1623836;0;3041575;2802223;1885;692609;921687
2000;Maio;ES;44995767;0;2687897;170595;2135142;34597362;6027017
2000;Maio;GO;5867763;0;2835167;4284786;335661;3250463;2783459
2000;Maio;MA;2703211;0;858769;3012208;0;512939;1637263
2000;Maio;MT;440969;71;1486479;1884321;0;248699;542566
2000;Maio;MS;145637;21;820330;103420;0;58093;541583
2000;Maio;MG;41614316;48;12955328;10809741;35149202;18966281;45153164
2000;Maio;PA;1782604;0;2109338;927599;0;827637;948472
2000;Maio;PB;978413;477;1558455;3742468;0;348015;1426901
2000;Maio;PR;62859100;0;7673978;5125621;24132873;43590234;30329163
2000;Maio;PE;8017913;14;5132100;4551563;0;3587743;9446127
2000;Maio;PI;303473;0;753725;466700;0;147084;324269
2000;Maio;RJ;58386206;46;21054565;24963885;2726534;27302677;57909006
2000;Maio;RN;1069075;0;1464552;391323;35;484028;484912
2000;Maio;RS;32480839;8719;16983511;9605892;269367;20414291;55151872
2000;Maio;RO;24664;0;568723;0;4361;10177;64482
2000;Maio;RR;19110;0;220798;0;0;11670;4569
2000;Maio;SC;13308720;10057;4396114;3412824;0;6582295;20440816
2000;Maio;SP;389944160;168;52581873;59427213;110869503;217394979;346334317
2000;Maio;SE;920929;0;777355;3900044;0;769433;1406509
2000;Maio;TO;6568;0;309262;51345;0;2939;69622
2000;Junho;AC;636;0;249093;0;0;214;13072
2000;Junho;AL;429780;35180;1183009;767192;0;194170;2771704
2000;Junho;AP;42799;0;355923;1774;553;45183;3924
2000;Junho;AM;11514488;19;1415010;1685632;27487;2658330;1194637
2000;Junho;BA;11585291;0;5134483;9923300;0;15925583;22203386
2000;Junho;CE;3861043;0;4072413;3991444;75;984965;3488569
2000;Junho;DF;2163431;0;3383880;2639747;115;2572904;970521
2000;Junho;ES;53653276;0;3106634;340407;2495564;38583458;8233657
2000;Junho;GO;8590298;0;3055774;4131883;0;4747850;3344235
2000;Junho;MA;4444557;0;995980;3230277;0;440269;1222197
2000;Junho;MT;563682;15;1614177;2156458;0;573929;551890
2000;Junho;MS;208284;0;871033;146513;0;93197;634437
2000;Junho;MG;38743074;15;14286344;12394596;6605583;15913003;44877210
2000;Junho;PA;1605676;44;2443686;1098428;0;833244;1135106
2000;Junho;PB;1627674;0;1779904;8855424;0;603811;1948116
2000;Junho;PR;67144952;15;8540321;4715869;27492476;41585514;33428272
2000;Junho;PE;7436127;632;5714439;5720717;0;3462578;10845081
2000;Junho;PI;240532;0;750077;1786313;0;118989;308714
2000;Junho;RJ;50806105;156;23377667;18960625;939457;26838254;55891077
2000;Junho;RN;784896;0;1705551;348784;0;256497;509993
2000;Junho;RS;27524502;4951;20278777;9880125;3372;17440349;60027920
2000;Junho;RO;30983;0;654131;0;3685;15836;64729
2000;Junho;RR;563;0;246122;0;0;0;5433
2000;Junho;SC;16010501;74;4917286;3431342;123815;11268557;20203722
2000;Junho;SP;385924731;8445;54965881;52478999;130209115;222018558;365974965
2000;Junho;SE;792597;0;875836;4146077;0;455190;1180269
2000;Junho;TO;703;0;380266;58883;0;6811;88466
2000;Julho;AC;258;13;283637;0;0;10;12579
2000;Julho;AL;965805;17717;1162481;708090;0;139829;2647791
2000;Julho;AP;40275;0;353259;2473;321;21872;13497
2000;Julho;AM;11228398;0;1316672;1303372;1466;2571830;2728223
2000;Julho;BA;10759329;0;4422960;8573064;0;17648957;25476763
2000;Julho;CE;6306759;0;3943442;3674411;1755;2263206;3586078
2000;Julho;DF;2338862;0;3133359;3223227;115;2641805;1433197
2000;Julho;ES;50254817;0;2920665;245207;1484448;36879449;5730691
2000;Julho;GO;7525279;0;2899877;4784920;0;4438147;3181083
2000;Julho;MA;2761216;0;912648;3278672;0;382449;515609
2000;Julho;MT;1556576;0;1556276;1916839;0;232524;607996
2000;Julho;MS;230314;0;830858;159515;0;36081;566688
2000;Julho;MG;32598812;35;12901449;10946248;20133676;15831542;45573495
2000;Julho;PA;1788485;18;2397296;816191;0;1005714;1015458
