Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
1af9e53149c30063d26cd03883849672;06/12/2023;06/12/2023;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f8523a7e392b7ab306239f511fd75280;06/12/2023;06/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MA;DPF/CXA/MA                                                      ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
bff611684009dd65c343940ae1d9c01b;06/12/2023;06/12/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;MT;DPF/ROO/MT                                                      ;Nao;                                                                                                                                ;2;1;0;4;R$58.499,10;;;;1;0;1;0;0;0;0;0;0;1
19b2ff43b56327e50d61c3b9e7d3735d;06/12/2023;06/12/2023;Operacao de Apoio;Crimes Financeiros                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
be32448ab20f5d740508678d397cfa9b;06/12/2023;06/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;SR/PF/RS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$1.500,00;;;;0;0;0;0;0;0;0;0;0;0
4e9d042515ccd663db9d02a65018761c;06/12/2023;06/12/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$75.648,00;;;;0;0;2;2;0;0;0;0;0;2
8916e5f23e9fb026689a4803249d708d;06/12/2023;06/12/2023;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;DPF/MBA/PA                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$750.000,00;;;;0;0;0;0;0;0;0;0;0;0
8227ffefcbce0f71bab4f0aad6e9aa17;06/12/2023;06/12/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;PR;DPF/GPB/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
11095089b091ef33373b02498b7f0abe;06/12/2023;06/12/2023;Operacao de Apoio;Crimes Financeiros                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
2b6d4cce7b00b41d068bc3eb394ab5f6;06/12/2023;06/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RO;SR/PF/RO                                                        ;Nao;Bolívia                                                                                                                         ;1;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
877395c811f74c72f54d2a3ab28b85ab;11/12/2023;06/12/2023;Operacao Especial;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;DPF/ATM/PA                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$877.500,00;;;;0;0;0;0;0;0;0;0;0;0
3a6430ccda63161354c5c81e538e7196;18/12/2023;06/12/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;1;0;0;0;R$1.999,99;;;;0;0;0;0;0;0;0;0;0;0
a7550ac961f94ce07752ea454637e44d;14/05/2021;05/12/2023;Operacao Especial;Tráfico de Armas                                                                                                                ;BA;GISE/SR/PF/BA                                                   ;Nao;Paraguai                                                                                                                        ;0;0;20;40;R$3.164.426,05;;R$38.100.500,00;;0;0;0;0;0;0;0;0;0;0
02cefc91261f5a16798b11ad4040bbc7;05/09/2022;05/12/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;PI;SR/PF/PI                                                        ;Nao;Bolívia                                                                                                                         ;2;37;0;52;R$2.662.164,00;;R$400.000.000,00;;0;0;0;0;0;0;0;0;0;0
d749f15fd47ea5b3d865b5632dcfe9bd;13/12/2022;05/12/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
497ff166f185ca28f5204a9b63f68b92;16/02/2023;05/12/2023;Operacao Especial;Crimes Fazendários                                                                                                              ;RS;DPF/SAG/RS                                                      ;Nao;Argentina                                                                                                                       ;3;2;8;35;R$18.461.813,95;;R$56.326.972,16;R$42.581.000,00;0;0;0;0;0;0;3;0;0;0
af1779dab451b9a98d11834d04e33388;29/08/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SC;DPF/CCM/SC                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
421c1c5a94026b5a6aaa258bf1bc8069;09/09/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;1;0;1;;;;;0;0;0;0;0;0;0;0;0;0
a7dc4381c31dc7bc34d696c8ef5968b9;22/09/2023;05/12/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
098e1fe65009e1827566072fb4db0173;09/10/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
7e80547bc0991f7120f7a0f04628e1fb;10/10/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
1f40f92ff68c4fbf80b701ffd960e5fd;10/10/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SC;SR/PF/SC                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
cb50fd94834f7d8c1cfa0df51bfd43e4;21/11/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SC;DPF/XAP/SC                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
f0d71f887307504326873a626bbce05d;22/11/2023;05/12/2023;Operacao Especial;Crimes Fazendários                                                                                                              ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;10;R$180.000,00;;;R$108.000,00;0;0;0;0;0;0;0;0;0;0
307bb3a725d84335482de34390c541bc;23/11/2023;05/12/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SP;DPF/MII/SP                                                      ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
288ff7ea087d40732e4bc152dfafb2a4;04/12/2023;05/12/2023;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
