dia_semana;mes;temporada;cidade;UF;regiao;pais;motivo;outro_motivo;selazer_atrativo;selazer_outro;senegocios_motivo;senegocios_outro;secongresso_motivo;secongresso_outro;atividades;atividades_outro;compahia;companhia_outro;organizacao_viagem;organizacao_viagem_outro;fonte_info;fonte_info_outro;pernoite;hospedagem;hospedagem_outro;reserva_hospdagem;reserva_hospedagem_outro;qt_pernoite;visita_outra_cidade;Cidade1;Cidade2;Cidade3;Cidade4;Cidade5;senao_motivo;senao_motivo_outro;agencia_passeiolocal;reserva_agencia;reserva_agencia_outro;guia_turismo;reserva_guia;reserva_guia_outro;g_transporteinterno;g_hospedagem;g_alimentacao;g_atrativosepasseios;g_compras;g_outros;g_total;g_totaldiario;g_totaldiarioind;obs_gastos;pessoasnosgastos;meio_transp_chegada;meio_transp_chegada_outro;meio_transp_interno;meio_transp_interno_outro;excpectativas;motivo_expectativas_negativas;1vez_na_cidade;visitou_3_anos;pretensao_retorno;motivo_retorno;motivo_retorno_outro;n_seguranca;n_acesso;n_transppubico;n_limpezaatrativos;n_comercio;n_qualidadehospedagem;n_atrativos;n_informacaoturistica;n_silizacaoturistica;n_opcpesdelazer;n_qualidadeprofguias;n_hospitalidade;n_gastronomia;n_precos;n_telefonia_internet;1_imagem;padrao;proxima_viagem;proxima_viagem_outro;id_genero;id_genero_outro;estado_civil;idade;instrucao;instrucao_outro;merc_trabalho;renda;dependente;Local;GPS;GPS2
sexta;novembro;alta;Conselheiro Lafaiete;MG;Sudeste;Brasil;Outro;0;;;;;;;Nao respondeu;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Nao Sabe;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;80;;100;200;0;0;380;190;190;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Sim;;Sim;Visita a amigos e parentes;;10;10;;10;10;;;10;10;10;;10;10;7;5;Mercado Central;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;27;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.632336;-43.963548
sexta;novembro;alta;Vitoria;ES;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"City tour; Diversao noturna";;Casal;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;100;50;80;0;230;76.67;76.67;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Sim;;Sim;Visita a amigos e parentes;;10;7;8;5;10;;10;10;10;10;;10;10;10;9;Nao sabe;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;32;Ensino Superior completo;;Assalariado(a) com carteira assinada;Nao respondeu;2;Aeroporto;-19.632073;-43.964102
sexta;novembro;alta;Santos Dumont;MG;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"City tour; Diversao noturna";;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;170;;300;250;50;0;770;256.67;64.17;;4;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;;10;7;;;10;10;10;;10;10;6;10;Mirante;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;46;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);4;Aeroporto;-19.631736;-43.964425
sexta;novembro;alta;Uberlandia;MG;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;Nao respondeu;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;3;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;100;;200;;;0;300;42.86;42.86;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Sim;;Sim;Visita a amigos e parentes;;10;10;;10;10;;;10;10;10;;10;;;9;Mirante;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;22;Ensino medio completo;;Estuda;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);2;Aeroporto;-19.632509;-43.963663
sexta;novembro;alta;Texeira de Freitas;BA;Nordeste;Brasil;Visita a amigos e parentes;0;;;;;;;"Visitar museu- monumentos historicos;Compra de produtos artesanais locais;Compra de produtos artesanais locais;City tour;Diversao noturna";;Familiares com filhos;;Agencia de viagens;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;3;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;150;0;0;0;150;75;75;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;6;6;7;;10;10;10;10;;10;10;6;8;Mercado das borboletas;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;29;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-19.63249;-43.96388
sexta;novembro;alta;Maraba;PA;Norte;Brasil;Visita a amigos e parentes;0;;;;;;;City tour;;Amigos;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;7;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;100;100;50;0;250;125;125;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Sim;;Sim;Visita a amigos e parentes;;10;10;;;10;;;10;10;10;;8;10;9;10;Nao sabe;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;35;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.631803;-43.964324
sexta;novembro;alta;Uberaba;MG;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"City tour; Diversao noturna";;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;100;;200;150;0;0;450;225;112.5;;2;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;;;10;;;10;10;10;;10;10;8;8;Orla da Lagoa;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;32;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-19.631843;-43.963858
sexta;novembro;alta;Vila Velha;ES;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"Visitar museu- monumentos historicos;Compra de produtos artesanais locais;Compra de produtos artesanais locais;City tour;Diversao noturna";;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;200;;200;300;0;0;700;233.33;233.33;;1;Aviao;;Transporte privado por aplicativos ;;Superou;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;;7;10;;7;10;10;10;;10;10;8;8;Savassi;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;38;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-19.632397;-43.963354
sexta;novembro;alta;Campinas;SP;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"City tour; Diversao noturna";;Casal;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;200;;200;200;50;0;650;325;162.5;;2;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;;10;10;10;10;10;10;10;;9;10;8;5;Nao sabe;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;26;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-19.632345;-43.963243
sexta;novembro;alta;Uberlandia;MG;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"Visitar museu- monumentos historicos;Compra de produtos artesanais locais;Compra de produtos artesanais locais;City tour;Diversao noturna";;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;3;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;300;0;0;0;300;100;50;;2;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Nao;Nao;Sim;Visita a amigos e parentes;;8;7;5;5;10;;10;10;10;10;;10;10;10;10;Mercado Central;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Casado;38;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.631847;-43.964184
sexta;novembro;alta;Cabo Frio;RJ;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;"City tour; Diversao noturna";;Casal;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;300;300;150;0;750;150;75;;2;Aviao;;Carro de amigos ou Parentes;;Superou;;Nao;Sim;Sim;Visita a amigos e parentes;;8;10;;7;10;;10;10;10;10;;10;10;7;8;Savassi;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;28;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.627649;-43.965751
sexta;novembro;alta;Vitoria;ES;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;City tour;;Casal;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;3;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;150;0;0;0;150;75;75;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;8;10;;7;10;;;10;10;;;10;10;5;8;Pao de queijo;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;42;Ensino Superior completo;;Funcionario(a) publico(a);Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);1;Aeroporto;-19.631708;-43.964217
sexta;novembro;alta;Barra Mansa;RJ;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;City tour;;Casal;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;5;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;50;100;0;0;150;30;30;;1;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Nao;Sim;Sim;Visita a amigos e parentes;;10;10;;5;10;;10;10;10;10;;10;10;5;8;Lagoa da Pampulha;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;52;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.631878;-43.964272
sexta;novembro;alta;Uberaba;MG;Sudeste;Brasil;Visita a amigos e parentes;0;;;;;;;Nao respondeu;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;NA;;2;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;200;150;0;0;350;116.67;58.33;;2;Aviao;;Carro de amigos ou Parentes;;Atendeu plenamente;;Sim;;Sim;Visita a amigos e parentes;;8;10;;7;10;;10;10;10;10;;10;10;10;10;Mirante;;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Casado;42;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-19.631803;-43.964324
