codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82752;PRXBB;***;AVIÃO;AIRBUS S.A.S.;A320-273N;A320;JATO;BIMOTOR;79000;79000;183;2019;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTA MARIA;POUSO;REGULAR;NENHUM;0
82751;PRTYS;***;AVIÃO;AIRBUS S.A.S.;A320-214;***;JATO;BIMOTOR;78000;78000;0;2015;BRASIL;BRASIL;AVIÃO;REGULAR;CONGONHAS;TANCREDO NEVES;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82750;PRTYQ;***;AVIÃO;AIRBUS S.A.S.;A320-214;A320;***;SEM TRAÇÃO;78000;78000;0;2015;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR JOSÉ RICHA;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82749;PSGPL;***;AVIÃO;MCDONNELL DOUGLAS;DC-3;DC3;;BIMOTOR;11431;11431;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;TANCREDO NEVES;CONGONHAS;POUSO;REGULAR;NENHUM;0
82748;PSGPM;***;AVIÃO;BOEING COMPANY;B378;***;;***;82644;82644;NULL;0;BRASIL;BRASIL;AVIÃO;REGULAR;SÍLVIO NAME JÚNIOR;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82747;PSGPA;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;0;2018;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTA GENOVEVA/GOIÂNIA;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82746;PRGXL;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE CASTRO PINTO;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82745;PRAKI;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT76;***;SEM TRAÇÃO;23000;23000;0;2016;BRASIL;BRASIL;AVIÃO;REGULAR;LAURO CARNEIRO DE LOYOLA;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82744;PRGGR;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2009;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
82743;PRYYB;***;***;AIRBUS;A320-251N;***;***;***;0;0;NULL;NULL;BRASIL;BRASIL;***;***;EURICO DE AGUIAR SALLES;VIRACOPOS;POUSO;REGULAR;NENHUM;0
82742;PRGZI;***;AVIÃO;BOEING COMPANY;737-86N;B738;JATO;BIMOTOR;79015;79015;196;2012;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82741;PRGTH;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79000;79000;194;2006;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;SALGADO FILHO;POUSO;REGULAR;LEVE;0
82740;PRXMI;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;JORGE NEWBERY AIRFIELD;HERCÍLIO LUZ;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82739;PRMHX;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2008;BRASIL;BRASIL;AVIÃO;REGULAR;CONGONHAS;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;NENHUM;0
82738;PRGUB;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2010;BRASIL;BRASIL;AVIÃO;REGULAR;ANTONIO CARLOS JOBIM / GALEÃO;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82737;PRGGR;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2009;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;CONGONHAS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82736;PRGXL;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE CASTRO PINTO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82735;PRAXC;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;CONGONHAS;POUSO;REGULAR;NENHUM;0
82734;PSGPH;***;AVIÃO;CESSNA AIRCRAFT;140;C140;;MONOMOTOR;658;658;0;0;BRASIL;BRASIL;AVIÃO;***;JORGE NEWBERY AIRFIELD;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82733;PRGEH;***;AVIÃO;BOEING COMPANY;737-76N;B737;TURBOEIXO;BIMOTOR;65997;65997;146;NULL;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
82732;PRGUU;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2012;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SÍLVIO NAME JÚNIOR;POUSO;REGULAR;NENHUM;0
82731;PRYRU;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;79000;79000;NULL;2018;BRASIL;BRASIL;AVIÃO;***;VAL DE CANS / JÚLIO CEZAR RIBEIRO;MARECHAL CUNHA MACHADO;DECOLAGEM;REGULAR;NENHUM;0
82730;PRGUA;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2010;BRASIL;BRASIL;AVIÃO;***;HERCÍLIO LUZ;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82729;PTTML;***;AVIÃO;AIRBUS INDUSTRIE;A319-132;***;JATO;BIMOTOR;70000;70000;153;0;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82728;PRYJF;***;AVIÃO;AIRBUS S.A.S.;A321-251NX;***;JATO;BIMOTOR;77000;77000;NULL;2021;BRASIL;BRASIL;AVIÃO;***;VAL DE CANS / JÚLIO CEZAR RIBEIRO;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82725;PRMYZ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2013;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;MARECHAL RONDON;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82724;PSGPE;***;AVIÃO;UNIVAIR AIRCRAFT;108-1;S108;;MONOMOTOR;1012;1012;0;0;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;NENHUM;0
82721;PRXMB;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;196;2018;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;POUSO;REGULAR;NENHUM;0
82720;PRAXO;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;MARECHAL RONDON;DECOLAGEM;REGULAR;***;0
82717;PRXML;***;AVIÃO;BOEING;737-8 MAX;B38M;;BIMOTOR;82190;82190;0;0;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ALUÍZIO ALVES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
82716;PRMYK;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2010;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;MAESTRO WILSON FONSECA;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82715;PRGXV;***;AVIÃO;BOEING COMPANY;737-8EH;***;JATO;BIMOTOR;70533;70533;0;2014;BRASIL;BRASIL;AVIÃO;***;PINTO MARTINS;GUARARAPES - GILBERTO FREYRE;POUSO;REGULAR;NENHUM;0
82714;PRGGH;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;CONGONHAS;INDETERMINADA;REGULAR;NENHUM;0
82713;PRXMR;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82644;82644;0;2021;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82711;PRGXB;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;TANCREDO NEVES;POUSO;REGULAR;NENHUM;0
82710;PSGPA;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;0;2018;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82709;PRGUI;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79015;79015;187;2011;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;TANCREDO NEVES;POUSO;REGULAR;NENHUM;0
82708;PRGEA;***;AVIÃO;BOEING COMPANY;737-7EH;B737;JATO;BIMOTOR;70080;70080;154;2009;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;AFONSO PENA;POUSO;REGULAR;NENHUM;0
82707;PRGGW;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2010;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;PINTO MARTINS;DECOLAGEM;REGULAR;NENHUM;0
82706;PRGXN;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2014;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTA GENOVEVA/GOIÂNIA;POUSO;REGULAR;NENHUM;0
82705;PRMHJ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;ADALBERTO MENDES DA SILVA;POUSO;REGULAR;NENHUM;0
82704;PRAKA;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;0;2015;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;RUBEM BERTA;SUBIDA;REGULAR;NENHUM;0
82701;PRYYK;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;77000;77000;NULL;2016;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;EDUARDO GOMES;SUBIDA;REGULAR;LEVE;0
82697;PRYYH;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;77000;77000;NULL;2017;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;SENADOR PETRÔNIO PORTELLA;DECOLAGEM;REGULAR;NENHUM;0
82696;PRMHJ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;***;BRIGADEIRO LYSIAS RODRIGUES;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82695;PRMBN;***;AVIÃO;AIRBUS INDUSTRIE;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2007;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;MINISTRO VICTOR KONDER;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82694;PRMYC;***;AVIÃO;AIRBUS INDUSTRIE;A319-112;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JOÃO BATISTA FIGUEIREDO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82693;PRVBF;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79000;79000;197;2008;BRASIL;BRASIL;AVIÃO;***;ZUMBI DOS PALMARES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
82692;PRAQE;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2012;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;PRESIDENTE JOÃO SUASSUNA;POUSO;REGULAR;NENHUM;0
82691;PRYJF;***;AVIÃO;AIRBUS S.A.S.;A321-251NX;***;JATO;BIMOTOR;77000;77000;NULL;2021;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;VIRACOPOS;DECOLAGEM;REGULAR;NENHUM;0
82690;PRGXF;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;REGULAR;NENHUM;0
82689;PRMYY;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2013;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;CONGONHAS;POUSO;REGULAR;NENHUM;0
82688;PRYSH;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;77000;77000;0;2021;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;PRESIDENTE JOÃO SUASSUNA;DECOLAGEM;REGULAR;NENHUM;0
82687;PRXMR;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82644;82644;0;2021;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;CATARATAS;DECOLAGEM;REGULAR;NENHUM;0
82686;PRMYC;***;AVIÃO;AIRBUS INDUSTRIE;A319-112;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JOÃO BATISTA FIGUEIREDO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82685;PRXBI;***;***;CESSNA AIRCRAFT;208 ANFIBIO;C208;;MONOMOTOR;3792;3792;0;0;BRASIL;BRASIL;***;***;CONGONHAS;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82684;PRGXB;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
82681;PRYRH;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;2017;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;SALGADO FILHO;DECOLAGEM;REGULAR;NENHUM;0
82680;PRMYZ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2013;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
82679;PRTQC;***;AVIÃO;PIPER AIRCRAFT;PA-31;PA31;;BIMOTOR;2948;2948;0;0;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82678;PRXBN;***;AVIÃO;AIRBUS S.A.S.;A320-271N;***;JATO;SEM TRAÇÃO;79000;79000;0;0;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;SANTA GENOVEVA/GOIÂNIA;DECOLAGEM;REGULAR;NENHUM;0
82677;PRMYR;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;BRIGADEIRO LYSIAS RODRIGUES;POUSO;REGULAR;NENHUM;0
82676;PRXBE;***;AVIÃO;AIRBUS S.A.S.;A320-273N;A20N;JATO;BIMOTOR;79000;79000;183;2019;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;REGULAR;NENHUM;0
82675;PRAUF;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;0;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;AFONSO PENA;POUSO;REGULAR;NENHUM;0
82674;PTMUI;***;AVIÃO;BOEING COMPANY;777-32WER;B77W;JATO;BIMOTOR;346544;346544;384;2013;BRASIL;BRASIL;AVIÃO;***;MIAMI INTERNATIONAL AIRPORT;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;***;0
82673;PRYSF;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;***;***;77000;77000;NULL;2019;BRASIL;BRASIL;AVIÃO;***;ALBERTO ALCOLUMBRE;VAL DE CANS / JÚLIO CEZAR RIBEIRO;POUSO;REGULAR;NENHUM;0
82672;PRYYK;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;77000;77000;NULL;2016;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;TANCREDO NEVES;CRUZEIRO;REGULAR;NENHUM;0
82671;PRYSE;***;AVIÃO;AIRBUS;A320-251N;***;JATO;BIMOTOR;0;0;NULL;2019;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;TANCREDO NEVES;POUSO;REGULAR;NENHUM;0
82670;PRYXA;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;23000;23000;NULL;2022;BRASIL;BRASIL;AVIÃO;***;MÁRIO RIBEIRO;TANCREDO NEVES;POUSO;REGULAR;NENHUM;0
82669;PRYJB;***;***;AIRBUS INDUSTRIE;A321-251NX;A21N;JATO;BIMOTOR;93500;93500;214;NULL;BRASIL;BRASIL;***;***;GOVERNADOR ANDRÉ FRANCO MONTORO;GUARARAPES - GILBERTO FREYRE;INDETERMINADA;REGULAR;NENHUM;0
82668;PRMYP;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;SALGADO FILHO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82667;LVIVO;***;AVIÃO;AIRBUS;A320-251N;***;***;SEM TRAÇÃO;79000;79000;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;DECOLAGEM;REGULAR;NENHUM;0
82666;PRAYV;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;***;CAMPO GRANDE;AFONSO PENA;POUSO;REGULAR;NENHUM;0
82665;PRYRC;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;2016;BRASIL;BRASIL;AVIÃO;***;PREFEITO RENATO MOREIRA;MARECHAL CUNHA MACHADO;POUSO;REGULAR;NENHUM;0
82664;PRGXJ;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;SANTOS DUMONT;DECOLAGEM;REGULAR;NENHUM;0
82663;PRMHZ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2008;BRASIL;BRASIL;AVIÃO;***;REGIONAL SUL;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82662;PRYRB;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;182;2016;BRASIL;BRASIL;AVIÃO;***;PINTO MARTINS;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;NENHUM;0
82661;PRYYL;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;79000;79000;NULL;2016;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;MARECHAL RONDON;POUSO;REGULAR;LEVE;0
82660;PRYSI;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;NULL;2022;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
82659;PRGXB;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;REGIONAL DA ZONA DA MATA;POUSO;REGULAR;NENHUM;0
82658;PRGYD;***;***;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;0;0;BRASIL;BRASIL;***;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
82657;PRGGZ;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2010;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTOS DUMONT;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82656;PRXMA;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;196;2018;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;PINTO MARTINS;POUSO;REGULAR;NENHUM;0
82655;CCABZ;***;AVIÃO;AIRBUS S.A.S;A320;***;***;SEM TRAÇÃO;79000;79000;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;AEROPORTO INTERNACIONAL DE SANTIAGO;DECOLAGEM;REGULAR;***;0
82654;N660UA;***;AVIÃO;BOEING COMPANY;B767-332ER;***;***;SEM TRAÇÃO;179000;179000;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;GEORGE BUSH INTERCONTINENTAL AIRPORT;DECOLAGEM;REGULAR;***;0
82652;PRYRS;***;AVIÃO;AIRBUS S.A.S.;A320-253N;A20N;JATO;BIMOTOR;77000;77000;NULL;2018;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;PRESIDENTE JOÃO SUASSUNA;DECOLAGEM;REGULAR;NENHUM;0
82651;PRXMP;***;AVIÃO;BOEING COMPANY;737-248C;B732;;BIMOTOR;65990;65990;0;0;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;PLÁCIDO DE CASTRO;DECOLAGEM;REGULAR;***;0
82650;PRYYB;***;***;AIRBUS;A320-251N;***;***;***;0;0;NULL;NULL;BRASIL;BRASIL;***;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;TANCREDO NEVES;DECOLAGEM;REGULAR;NENHUM;0
82649;PSAEC;***;AVIÃO;EMBRAER;ERJ 190-400;***;***;SEM TRAÇÃO;0;0;0;0;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;CAMPO GRANDE;POUSO;REGULAR;NENHUM;0
82648;PTXPC;***;AVIÃO;AIRBUS INDUSTRIE;A321-211;A321;JATO;BIMOTOR;89000;89000;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;NENHUM;0
82647;PSGPH;***;AVIÃO;CESSNA AIRCRAFT;140;C140;;MONOMOTOR;658;658;0;0;BRASIL;BRASIL;AVIÃO;***;PINTO MARTINS;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82646;PRYRB;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;182;2016;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;VIRACOPOS;POUSO;REGULAR;NENHUM;0
82645;PRXMP;***;AVIÃO;BOEING COMPANY;737-248C;B732;;BIMOTOR;65990;65990;0;0;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;PINTO MARTINS;DECOLAGEM;REGULAR;NENHUM;0
82644;PRXMX;***;AVIÃO;BOEING;B738;***;***;SEM TRAÇÃO;82644;82644;0;0;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SERAFIN ENOSS BERTASO;POUSO;REGULAR;NENHUM;0
82643;PRFTX;***;AVIÃO;PIPER AIRCRAFT;PA-34-200;PA34;PISTÃO;BIMOTOR;1814;1814;5;1973;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CAMPO DE MARTE - SP;CAMPO DE MARTE - SP;APROXIMAÇÃO FINAL;NÃO REGULAR;NENHUM;0
82642;PRAKJ;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2016;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;ADALBERTO MENDES DA SILVA;DECOLAGEM;REGULAR;NENHUM;0
82641;PRAKN;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2021;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;ADALBERTO MENDES DA SILVA;CRUZEIRO;REGULAR;NENHUM;0
82640;PRAUH;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;TURBOEIXO;BIMOTOR;52290;52290;125;0;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;AFONSO PENA;SUBIDA;REGULAR;NENHUM;0
