codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82815;PRAKB;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;SUBIDA;REGULAR;NENHUM;0
82813;PPFKY;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1990;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;RESENDE;RESENDE;DECOLAGEM;INSTRUÇÃO;LEVE;0
82812;PTKNU;***;AVIÃO;CESSNA AIRCRAFT;182P;C182;PISTÃO;MONOMOTOR;1338;1338;4;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;FAZENDA CONCEIÇÃO;FAZENDA CONCEIÇÃO;POUSO;PRIVADA;NENHUM;0
82811;PRYSI;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;NULL;2022;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ALUÍZIO ALVES;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
82810;PRAKD;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
82808;PRYRV;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;160;0;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;ANTONIO CARLOS JOBIM / GALEÃO;CRUZEIRO;REGULAR;LEVE;0
82807;PPCID;***;AVIÃO;CIRRUS DESIGN;SR22;SR22;PISTÃO;MONOMOTOR;1542;1542;4;2010;BRASIL;BRASIL;AVIÃO;PARTICULAR;BARTOLOMEU LISANDRO;SANTOS DUMONT;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
82806;PRAKB;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;GUARARAPES - GILBERTO FREYRE;PRESIDENTE JOÃO SUASSUNA;POUSO;REGULAR;NENHUM;0
82805;PRMCL;***;AVIÃO;CESSNA AIRCRAFT;510;C510;JATO;BIMOTOR;3921;3921;6;2008;BRASIL;BRASIL;AVIÃO;PARTICULAR;BACACHERI;IJUÍ;POUSO;PRIVADA;SUBSTANCIAL;0
82804;PRBJA;***;AVIÃO;EMBRAER;EMB-505;E55P;JATO;BIMOTOR;8340;8340;11;2013;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;SANTOS DUMONT;COMANDANTE GUSTAVO KRAEMER;POUSO;TÁXI AÉREO;NENHUM;0
82802;PRAKN;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2021;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;PONTA PORÃ;DECOLAGEM;REGULAR;NENHUM;0
82801;PRAKN;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2021;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;FRANK MILOYE MILENKOVICH;CRUZEIRO;REGULAR;NENHUM;0
82800;PTMOD;***;AVIÃO;BOEING COMPANY;767-316;B763;***;SEM TRAÇÃO;186880;186880;0;2012;BRASIL;BRASIL;AVIÃO;REGULAR;EDUARDO GOMES;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;REGULAR;LEVE;0
82799;PRTYH;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;182;2013;BRASIL;BRASIL;AVIÃO;REGULAR;AEROPORTO INTERNACIONAL DE SANTIAGO;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;REGULAR;LEVE;0
82798;PRPJN;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61500;61500;143;2019;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;BRIGADEIRO LYSIAS RODRIGUES;CRUZEIRO;REGULAR;NENHUM;0
82797;PRAKD;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
